,City,lat,lng,Movehub.Rating,Purchase.Power,Health.Care,Pollution,Quality.of.Life,Crime.Rating,Sunny_days,Average_internet_Speed,D_1M,T_1M,Peace_Index_2020,Happiness_Index
32,Vancouver,49.2827291,-123.1207375,82.59,48.06,83.73,18.48,71.89,30.03,1937.6,42.5,258,228442,1.298,7.278
33,Santiago,-33.4488897,-70.6692655,74.6,29.96,66.11,92.42,39.13,42.33,2807.9,12,709,201298,1.804,6.444
34,Shanghai,31.230416,121.473701,75.69,26.74,78.7,61.74,31.66,16.51,1775.8,21.59222798,3,111163,2.166,5.191
35,Hong Kong,22.3193039,114.1693611,86.37,50.07,67.59,14.88,59.5,16.31,1835.6,21.59222798,3,111163,2.166,5.191
36,Beijing,39.9041999,116.4073963,74.17,22.97,58.9,57.18,25.69,47.61,2670.8,21.59222798,3,111163,2.166,5.191
37,Bogota,4.7109886,-74.072092,70.6,14.52,73.89,14.54,29.33,46.02,2395.133333,10,564,86232,2.646,6.125
38,Medellin,6.2476376,-75.5658153,70.14,19.2,85.88,37.27,39.7,46.02,2395.133333,10,564,86232,2.646,6.125
39,Zagreb,45.8150108,15.9819189,73.84,26.71,52.78,83.45,47.59,32.29,1913,26.7,87,95678,1.615,5.432
40,Limassol,34.7071301,33.0226174,78.3,40.13,77.6,26.74,74.83,23.75,2395.133333,21.59222798,21,355880,1.92,6.046
41,Nicosia,35.1855659,33.3822764,78.76,39.03,72.04,6.27,57.58,38.22,3314.1,21.59222798,21,355880,1.92,6.046
42,Prague,50.0755381,14.4378005,76.64,35.32,64.15,41.53,58.85,34.54,1668,31.5,236.386875,192576.118,1.337,6.852
43,Copenhagen,55.6760968,12.5683372,82.85,49.33,85.14,30.54,75.23,32.39,1630,34.6,117,788477,1.283,7.6
44,Santo Domingo,18.4860575,-69.9312117,74.6,28.82,62.5,18.59,41.88,62.19,2395.133333,21.59222798,236.386875,192576.118,1.905913295,6.141954286
45,Quito,-0.1806532,-78.4678382,67.15,14.24,32.41,14.76,46.43,48.36,2238,10.5,698,27756,2.085,6.028
46,Cairo,30.0444196,31.2357116,67.93,11.9,56.48,86.16,17.25,48.81,3541.8,8.6,59,1312,2.481,4.166
47,Addis Ababa,8.9806034,38.7577605,59.88,6.38,63.89,85.59,28.41,26.04,2395.133333,21.59222798,12,12007,2.526,4.286
48,Helsinki,60.1698557,24.9383791,81.34,54.41,74.35,29.14,75.85,40.96,1858,27,63,232344,1.404,7.769
49,Orlando,28.5383355,-81.3792365,84.39,71.07,76.01,70.75,82.33,55.07,2395.133333,21.59222798,236.386875,192576.118,1.905913295,6.141954286
50,Toulouse,43.604652,1.444209,82.1,54.47,81.01,36.23,66.66,47.27,2395.133333,25.2,511,204183,1.93,6.592
51,Lyon,45.764043,4.835659,84.78,56.05,88.65,37.21,71.13,47.27,2002,25.2,511,204183,1.93,6.592
